example_id,time_min,CFD_temperature_C,predicted_temperature_C,heating_stage_duration_min
1,0.0,20.0,20.034271240234375,11.066667079925537
1,0.016666667289044482,20.0,20.056198970381036,11.066667079925537
1,0.033333334578088965,20.0,20.078126700527697,11.066667079925537
1,0.05000000186713345,20.0,20.10005443067436,11.066667079925537
1,0.06666666915617793,20.0,20.135428348219538,11.066667079925537
1,0.08333333644522241,20.0,20.177627224520027,11.066667079925537
1,0.1000000037342669,20.0,20.21982610082052,11.066667079925537
1,0.11666667102331138,20.0,20.246569219842016,11.066667079925537
1,0.13333333831235586,20.000027,20.241449700780663,11.066667079925537
1,0.15000000560140034,20.000113,20.23633018171931,11.066667079925537
1,0.16666667289044482,20.000196,20.231210662657958,11.066667079925537
1,0.1833333401794893,20.000282,20.22025007799447,11.066667079925537
1,0.2000000074685338,20.000368,20.209230193172594,11.066667079925537
1,0.21666667475757828,20.000452,20.198210308350713,11.066667079925537
1,0.23333334204662276,20.000538,20.189270410193018,11.066667079925537
1,0.25000000933566724,20.000622,20.181434504957085,11.066667079925537
1,0.2666666766247117,20.000837,20.17359859972115,11.066667079925537
1,0.2833333439137562,20.001127,20.16688904130315,11.066667079925537
1,0.3000000112028007,20.001415,20.162610961730223,11.066667079925537
1,0.31666667849184515,20.001705,20.158332882157293,11.066667079925537
1,0.33333334578088963,20.001993,20.154054802584362,11.066667079925537
1,0.3500000130699341,20.002283,20.152979603732923,11.066667079925537
1,0.3666666803589786,20.002682,20.151970104998853,11.066667079925537
1,0.38333334764802307,20.00337,20.150960606264782,11.066667079925537
1,0.4000000149370676,20.004059,20.150507042206915,11.066667079925537
1,0.4166666822261121,20.004747,20.150361848164753,11.066667079925537
1,0.43333334951515656,20.005434,20.150216654122595,11.066667079925537
1,0.45000001680420104,20.006123,20.15006024578968,11.066667079925537
1,0.4666666840932455,20.006811,20.149878467421935,11.066667079925537
1,0.48333335138229,20.008043,20.149696689054192,11.066667079925537
1,0.5000000186713345,20.009323,20.149514910686445,11.066667079925537
1,0.5166666859603789,20.010601,20.149254408227392,11.066667079925537
1,0.5333333532494234,20.01188,20.14899145838726,11.066667079925537
1,0.550000020538468,20.01316,20.148728508547126,11.066667079925537
1,0.5666666878275124,20.01444,20.148040645093804,11.066667079925537
1,0.5833333551165569,20.01586,20.14710660153125,11.066667079925537
1,0.6000000224056014,20.017447,20.14617255796869,11.066667079925537
1,0.6166666896946459,20.019106,20.14529037475586,11.066667079925537
1,0.6333333569836903,20.020838,20.14453125,11.066667079925537
1,0.6500000242727348,20.022642,20.14377212524414,11.066667079925537
1,0.6666666915617793,20.024519,20.14301300048828,11.066667079925537
1,0.6833333588508238,20.02649,20.14197735614087,11.066667079925537
1,0.7000000261398682,20.028637,20.140930129821044,11.066667079925537
1,0.7166666934289128,20.030888,20.139882903501213,11.066667079925537
1,0.7333333607179572,20.033245,20.139139152434936,11.066667079925537
1,0.7500000280070017,20.035706,20.138578954949438,11.066667079925537
1,0.7666666952960461,20.038273,20.13801875746394,11.066667079925537
1,0.7833333625850907,20.040943,20.137350496039332,11.066667079925537
1,0.8000000298741352,20.043758,20.136413022696253,11.066667079925537
1,0.8166666971631796,20.046698,20.135475549353174,11.066667079925537
1,0.8333333644522242,20.049753,20.134538076010095,11.066667079925537
1,0.8500000317412686,20.052927,20.133865540286145,11.066667079925537
1,0.8666666990303131,20.056217,20.13320702242564,11.066667079925537
1,0.8833333663193575,20.059628,20.132548504565136,11.066667079925537
1,0.9000000336084021,20.063164,20.131803075951265,11.066667079925537
1,0.9166667008974465,20.066832,20.131002793829126,11.066667079925537
1,0.933333368186491,20.070623,20.130202511706983,11.066667079925537
1,0.9500000354755355,20.074537,20.12897471347487,11.066667079925537
1,0.96666670276458,20.078577,20.12662760033665,11.066667079925537
1,0.9833333700536244,20.082739,20.124280487198426,11.066667079925537
