n_heat,n_cool,logF_RMSE_resampled_true_trajectory_vs_stored_F,F_relative_difference_mean_percent,F_relative_difference_p95_percent,F_relative_difference_p99_percent,F_relative_difference_max_percent
100,100,3.270838351454586e-05,0.006076669320464134,0.013755261898040771,0.020961463451385498,0.08565187454223633
200,200,3.580519478418864e-05,0.006987383123487234,0.0161781907081604,0.020939111709594727,0.03350973129272461
300,300,3.668370482046157e-05,0.007126289419829845,0.016768276691436768,0.02190917730331421,0.03145337104797363
