training_seed,weights_used_for_final_model,epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
42,False,1,0.0010000000474974,121.14102419400297,121.141027149999,2.317854404449463,0.3428993821144104,0.1327026039361953,0.0976786166429519,2.7764031887054443,2.7785892486572266,0.0547719299793243,0.0799478664994239,2.0122594833374023,0.0999019220471382,0.0178553238511085,0.0317981876432895,0.0219727382063865,0.0202354341745376,0.0276088044047355,0.0006911690579727,0.0023350748233497,0.656284511089325
42,False,2,0.0010000000474974,32.699417910997,153.84051315200486,0.0559204183518886,0.0085611967369914,0.0111969374120235,0.0140727534890174,0.0267333965748548,0.0325537919998168,0.0002891827316489,0.0013270751805976,0.5180495381355286,0.0673960447311401,0.0046574939042329,0.0104978028684854,0.0420785993337631,0.0108140250667929,0.0139317931607365,0.0001841893099481,0.0007923010271042,0.5154734253883362
42,False,3,0.0010000000474974,32.62723058499978,186.46776106700415,0.0201676059514284,0.0037523021455854,0.0037090545520186,0.0065688756294548,0.0046714381314814,0.0076909712515771,0.0001560991513542,0.0003374415100552,0.292304128408432,0.0159597806632518,0.0031811296939849,0.0017881839303299,0.0022250460460782,0.0111060962080955,0.0130097512155771,8.554121450288221e-05,0.0002268997195642,0.2827863991260528
42,False,4,0.0010000000474974,32.677782812999794,219.1455578189998,0.0095641491934657,0.002218052977696,0.0014809954445809,0.0023822928778827,0.0024750016164034,0.003541528712958,9.140052134171128e-05,0.000181085881195,0.1993753463029861,0.0137082627043128,0.0019956929609179,0.0013686742167919,0.0019496529130265,0.0127566922456026,0.0131024857982993,5.460439206217416e-05,0.0001474578311899,0.2655817866325378
42,False,5,0.0010000000474974,32.61301059700054,251.7585933540031,0.0111779905855655,0.0021814028732478,0.0011943763820454,0.0016888231039047,0.0078109423629939,0.0073475278913974,0.0001043006705003,0.0001608441525604,0.2186977416276931,0.0084041515365242,0.0022392694372683,0.0012400532141327,0.0015105755301192,0.0023047938011586,0.0032473092433065,0.0001366565411444,8.920388063415885e-05,0.1882400959730148
42,False,6,0.0010000000474974,32.65213976999803,284.4108019749983,0.0080114463344216,0.0018131553661078,0.0010970693547278,0.001858772477135,0.0028190941084176,0.0032659373246133,7.881665806053206e-05,0.0001186508670798,0.180481269955635,0.0126715777441859,0.0022198886144906,0.0009380560368299,0.0050808615051209,0.0043929163366556,0.0059155602939426,9.03828622540459e-05,7.38589369575493e-05,0.2399224787950515
42,False,7,0.0010000000474974,32.67296836099558,317.0837849899981,0.0102620646357536,0.0019258306128904,0.0016015130095183,0.001733528682962,0.0061116535216569,0.0054225455969572,6.685145490337163e-05,0.0001284752361243,0.2053078711032867,0.012493098154664,0.0020965391304343,0.0019120649667456,0.0036159572191536,0.0055202329531311,0.0095280371606349,5.031626278650947e-05,6.847132317489013e-05,0.2637701630592346
42,False,8,0.0010000000474974,32.63310391399864,349.71690356900217,0.0073904679156839,0.0017552704084664,0.0012962842592969,0.0015277175698429,0.0020820503123104,0.0027490339707583,5.731412602472119e-05,9.16788267204538e-05,0.1712037622928619,0.0105576394125819,0.001291683409363,0.0021771672181785,0.0030998354777693,0.0053647714667022,0.0095498701557517,3.781808118219488e-05,0.0001110297089326,0.2506208717823028
42,False,9,0.0010000000474974,32.64653117099806,382.3634486400042,0.00555488653481,0.0014354640152305,0.0006810204940848,0.0012113822158426,0.0015587960369884,0.0017851686570793,4.880691267317161e-05,7.276835094671696e-05,0.1418653428554535,0.0073397052474319,0.0010671252384781,0.0012047614436596,0.0034386843908578,0.0011040059616789,0.0025270683690905,4.383692430565134e-05,5.622339085675776e-05,0.1803974360227584
42,False,10,0.0010000000474974,32.65791180899396,415.02137450900045,0.0055723548866808,0.0014770197449252,0.00080338481348,0.0009698866051621,0.0016667520394548,0.0018748394213616,4.748789069708437e-05,6.91737441229634e-05,0.1440541297197342,0.0110795488581061,0.0016234974609687,0.0014983399305492,0.0050563756376504,0.0025388551875948,0.0043122633360326,2.3851354853832163e-05,6.024746835464612e-05,0.2248937040567398
42,False,11,0.0010000000474974,32.792796288005775,447.8142312359996,0.0163641348481178,0.0019669441971927,0.0027885138988494,0.0076976553536951,0.0038488532882183,0.0048462986014783,0.0001022263313643,9.432641672901808e-05,0.25643390417099,0.0104579785838723,0.0021327815484255,0.0011794589227065,0.0045333351008594,0.0008677449077367,0.0016075453022494,0.0002861401881091,0.0001713361561996,0.1924813240766525
42,False,12,0.0010000000474974,32.64607997600251,480.4603252950037,0.0044493363238871,0.0012859217822551,0.0005042572156526,0.0006365862209349,0.0014500855468213,0.0016119907377287,5.029454769100994e-05,6.577193562407047e-05,0.1241734027862548,0.0058597875759005,0.001183072454296,0.0005372097948566,0.0016035480657592,0.0026782709173858,0.002081915969029,1.8766475477605127e-05,0.0001187162779388,0.1523076891899109
42,False,13,0.0010000000474974,32.63703423100378,513.0973860009981,0.0047257407568395,0.0013664410216733,0.0004617766535375,0.0007141375099308,0.0016153815668076,0.0016150191659107,3.714860940817744e-05,5.53850331925787e-05,0.1285259574651718,0.008339007385075,0.0011239225277677,0.0010667085880413,0.0011700626928359,0.0076853763312101,0.0046339519321918,6.998950993875042e-05,4.7028301196405664e-05,0.1868076175451278
42,False,14,0.0010000000474974,32.7209184989988,545.8183245539985,0.0053778481669723,0.0012842040741816,0.0006158862379379,0.0006365657318383,0.0030944696627557,0.0028018734883517,4.024291047244333e-05,5.730001066694968e-05,0.1441610455513,0.0094242133200168,0.0013065609382465,0.0038668920751661,0.0008677492151036,0.0041420324705541,0.0017401792574673,2.058678728644736e-05,3.375462620169856e-05,0.1815759241580963
42,False,15,0.0010000000474974,32.67323750899959,578.4915759959986,0.0122203771024942,0.0019825552590191,0.0029667264316231,0.0026681441813707,0.005197113379836,0.0057382672093808,0.000117150346341,0.0001012802385957,0.2205692529678344,0.0134976133704185,0.00227199238725,0.0044156177900731,0.0026690291706472,0.0036351103335618,0.0036058230325579,9.476919512962922e-05,0.0004195125075057,0.2384555041790008
