sequence_index,phase,local_normalized_time,mean_attention_weight,p05_attention_weight,p95_attention_weight
0,heating,0.0,0.0031938462,0.0020609720377251506,0.004645050689578056
1,heating,0.005025125628140704,0.002947848,0.002281359606422484,0.00368465983774513
2,heating,0.010050251256281407,0.0028917259,0.0023065284127369522,0.0037065173499286172
3,heating,0.01507537688442211,0.002919349,0.0022179972380399703,0.003964365227147937
4,heating,0.020100502512562814,0.002986007,0.0021251572761684656,0.004278621403500437
5,heating,0.02512562814070352,0.0030656918,0.0020721090724691747,0.004559278115630149
6,heating,0.03015075376884422,0.0031436295,0.0020371338818222285,0.004866920411586761
7,heating,0.035175879396984924,0.0032120636,0.002017610357142985,0.005120906606316565
8,heating,0.04020100502512563,0.0032676423,0.0020018801791593433,0.005270865652710199
9,heating,0.04522613065326633,0.003309747,0.001981884380802512,0.00546087841503322
10,heating,0.05025125628140704,0.0033392052,0.001978154992684722,0.005564506119117141
11,heating,0.05527638190954774,0.0033574956,0.0019619264407083393,0.005689152795821426
12,heating,0.06030150753768844,0.0033662647,0.0019467371050268412,0.005779181839898228
13,heating,0.06532663316582915,0.0033670415,0.0019313411554321648,0.005860939715057611
14,heating,0.07035175879396985,0.0033611378,0.0019141472992487251,0.005889647919684648
15,heating,0.07537688442211056,0.0033497424,0.0018988801166415215,0.00589724271558225
16,heating,0.08040201005025126,0.0033340415,0.0018870239262469112,0.005896876519545913
17,heating,0.08542713567839195,0.0033150485,0.0018705237191170454,0.005888670263811945
18,heating,0.09045226130653267,0.003293733,0.001864694256801158,0.005892058089375495
19,heating,0.09547738693467336,0.0032708796,0.0018636142718605696,0.005892389686778188
20,heating,0.10050251256281408,0.0032473262,0.0018600579467602074,0.005895101372152566
21,heating,0.10552763819095477,0.0032237212,0.0018568017985671759,0.005892050359398126
22,heating,0.11055276381909548,0.0032006924,0.0018490090849809348,0.005895952554419636
23,heating,0.11557788944723618,0.0031787348,0.0018475598539225758,0.005882607866078614
24,heating,0.12060301507537688,0.003158189,0.0018522531143389642,0.005856303172186016
25,heating,0.12562814070351758,0.003139324,0.0018444387358613312,0.005826206412166355
26,heating,0.1306532663316583,0.0031222792,0.0018499601865187287,0.005812107725068927
27,heating,0.135678391959799,0.0031072043,0.0018546335166320204,0.005770599702373146
28,heating,0.1407035175879397,0.003094151,0.0018601912073791028,0.005764239840209484
29,heating,0.1457286432160804,0.003083204,0.0018637512228451669,0.005713758245110509
30,heating,0.15075376884422112,0.003074341,0.0018653527600690722,0.005674146069213747
31,heating,0.15577889447236182,0.003067528,0.0018732710159383714,0.005620369175449013
32,heating,0.16080402010050251,0.0030626568,0.0018917774315923453,0.005569385504350063
33,heating,0.1658291457286432,0.0030596147,0.0019053241005167366,0.0055020488332957005
34,heating,0.1708542713567839,0.0030582554,0.0019127074163407087,0.005451077688485383
35,heating,0.17587939698492464,0.0030583553,0.001930676877964288,0.005421641096472739
36,heating,0.18090452261306533,0.003059798,0.0019389899098314345,0.005378982564434407
37,heating,0.18592964824120603,0.003062339,0.0019543427973985673,0.0053412146866321526
38,heating,0.19095477386934673,0.0030658527,0.001970197004266083,0.005303543200716375
39,heating,0.19597989949748745,0.0030702339,0.0019906151574105024,0.005239789374172687
40,heating,0.20100502512562815,0.0030753466,0.0020073528168722985,0.005159560637548565
41,heating,0.20603015075376885,0.0030810577,0.002022862806916237,0.005105772195383907
42,heating,0.21105527638190955,0.00308723,0.0020317914197221397,0.005052056116983293
43,heating,0.21608040201005024,0.0030937283,0.0020452311728149652,0.005005867080762982
44,heating,0.22110552763819097,0.0031004895,0.0020654981257393957,0.004974941443651914
45,heating,0.22613065326633167,0.0031073121,0.0020848823944106696,0.004945937078446149
46,heating,0.23115577889447236,0.0031141331,0.0021047715563327074,0.004906026925891638
47,heating,0.23618090452261306,0.0031208023,0.002113315975293517,0.00483404048718512
48,heating,0.24120603015075376,0.003127224,0.0021174466237425804,0.004790400620549916
49,heating,0.24623115577889448,0.0031333435,0.002130289818160236,0.0047326203435659395
50,heating,0.25125628140703515,0.003139115,0.0021439419128000737,0.004667349252849816
51,heating,0.2562814070351759,0.003144456,0.0021489302162081003,0.004612929886206984
52,heating,0.2613065326633166,0.003149354,0.0021554207894951107,0.004552217153832316
53,heating,0.2663316582914573,0.003153801,0.002156714419834316,0.004496946604922412
54,heating,0.271356783919598,0.0031578015,0.0021537911146879197,0.004472945909947156
55,heating,0.2763819095477387,0.0031613691,0.0021528249606490137,0.004407677566632624
56,heating,0.2814070351758794,0.0031645559,0.0021441199583932757,0.00436390936374664
57,heating,0.2864321608040201,0.003167357,0.0021421494195237754,0.00432205805554986
58,heating,0.2914572864321608,0.0031698588,0.0021322408923879267,0.004290390200912952
59,heating,0.2964824120603015,0.003172077,0.0021294008009135725,0.004263968858867883
60,heating,0.30150753768844224,0.0031740912,0.0021309179486706854,0.0042537692934274665
61,heating,0.3065326633165829,0.0031759257,0.002129184175282717,0.004242079146206379
62,heating,0.31155778894472363,0.0031776207,0.0021267335629090666,0.004203940043225884
63,heating,0.3165829145728643,0.0031791853,0.0021233129315078258,0.004192965384572744
64,heating,0.32160804020100503,0.0031806235,0.0021190511994063853,0.004191659903153777
65,heating,0.32663316582914576,0.0031819681,0.002110074134543538,0.004172029299661516
66,heating,0.3316582914572864,0.0031831826,0.0021042571635916827,0.004178020218387246
67,heating,0.33668341708542715,0.0031843006,0.0021111724665388463,0.004187935730442405
68,heating,0.3417085427135678,0.0031852967,0.002108293795026839,0.0041934636421501635
69,heating,0.34673366834170855,0.003186128,0.002106768125668168,0.004191928682848811
70,heating,0.35175879396984927,0.0031868592,0.0021115136332809925,0.0042121147736907
71,heating,0.35678391959798994,0.0031874022,0.002103971038013697,0.004206503601744771
72,heating,0.36180904522613067,0.0031878075,0.002098791464231908,0.004235649108886718
73,heating,0.36683417085427134,0.0031880275,0.002093412750400603,0.00424582208506763
74,heating,0.37185929648241206,0.0031880846,0.002095367992296815,0.0042661335319280624
75,heating,0.3768844221105528,0.0031879868,0.002096366975456476,0.00428001475520432
76,heating,0.38190954773869346,0.003187704,0.0021010465919971467,0.004300818964838982
77,heating,0.3869346733668342,0.0031872783,0.0021064982283860445,0.004321355698630213
78,heating,0.3919597989949749,0.0031866622,0.0021087417146191,0.004343396564945578
79,heating,0.3969849246231156,0.0031859097,0.002111168508417904,0.004370093299075961
80,heating,0.4020100502512563,0.003184971,0.002112226514145732,0.0043757854029536246
81,heating,0.40703517587939697,0.0031838831,0.002114814263768494,0.004385747574269771
82,heating,0.4120603015075377,0.0031826259,0.0021174978697672485,0.004394336743280291
83,heating,0.4170854271356784,0.0031811823,0.0021199805429205298,0.004403704777359962
84,heating,0.4221105527638191,0.0031795874,0.0021217366913333533,0.004419607855379581
85,heating,0.4271356783919598,0.0031778258,0.002123534423299134,0.004421742679551244
86,heating,0.4321608040201005,0.0031758768,0.002126187039539218,0.004418961424380541
87,heating,0.4371859296482412,0.003173775,0.0021276191575452684,0.004440896026790141
88,heating,0.44221105527638194,0.0031715007,0.0021310663549229504,0.004461055295541882
89,heating,0.4472361809045226,0.003169085,0.0021324985194951297,0.004466352518647909
90,heating,0.45226130653266333,0.0031665126,0.0021336372941732407,0.0044748873449862005
91,heating,0.457286432160804,0.0031637975,0.0021379329729825257,0.004464742820709943
92,heating,0.4623115577889447,0.0031609451,0.0021407805383205415,0.004470455180853605
93,heating,0.46733668341708545,0.0031579623,0.0021428318694233896,0.004476801026612519
94,heating,0.4723618090452261,0.0031548622,0.0021460210904479028,0.0044767966493964185
95,heating,0.47738693467336685,0.00315164,0.0021474189357832073,0.004467260418459773
96,heating,0.4824120603015075,0.0031483562,0.002149099111557007,0.004463634267449379
97,heating,0.48743718592964824,0.0031449879,0.002150229597464204,0.004460705071687698
98,heating,0.49246231155778897,0.0031415576,0.0021552432095631956,0.004459057934582233
99,heating,0.49748743718592964,0.0031380982,0.002164090727455914,0.004444891959428787
100,heating,0.5025125628140703,0.0031346148,0.002172926417551935,0.004428731370717287
101,heating,0.507537688442211,0.0031310937,0.002176725631579757,0.0044039462227374315
102,heating,0.5125628140703518,0.003127624,0.002177528664469719,0.004389136144891381
103,heating,0.5175879396984925,0.0031241244,0.0021806069649755954,0.004382629645988344
104,heating,0.5226130653266332,0.0031206724,0.002181028435006738,0.004362450214102863
105,heating,0.5276381909547738,0.0031172922,0.002181695867329836,0.004355624783784151
106,heating,0.5326633165829145,0.0031139224,0.0021835699677467345,0.004341960418969393
107,heating,0.5376884422110553,0.00311061,0.0021846199175342917,0.004325800016522408
108,heating,0.542713567839196,0.0031073908,0.002185062458738685,0.004302174551412463
109,heating,0.5477386934673367,0.0031042648,0.0021863806061446665,0.004273965768516063
110,heating,0.5527638190954774,0.0031011957,0.0021863082889467477,0.004260347876697778
111,heating,0.5577889447236181,0.0030982106,0.0021869468502700327,0.0042458367999643086
112,heating,0.5628140703517588,0.003095368,0.002187629113905132,0.00422525112517178
113,heating,0.5678391959798995,0.003092589,0.0021883514011278747,0.004200198594480752
114,heating,0.5728643216080402,0.0030899115,0.0021894101751968264,0.004175619082525371
115,heating,0.577889447236181,0.0030873748,0.002190423384308815,0.004162310436367988
116,heating,0.5829145728643216,0.0030848903,0.002190901874564588,0.004144065268337726
117,heating,0.5879396984924623,0.003082543,0.002191368886269629,0.004124126769602299
118,heating,0.592964824120603,0.003080294,0.0021923993714153766,0.004108040081337094
119,heating,0.5979899497487438,0.0030781943,0.0021928084781393407,0.004092281963676214
120,heating,0.6030150753768845,0.0030761876,0.0021933632204309108,0.004076978098601102
121,heating,0.6080402010050251,0.0030742884,0.002193811186589301,0.0040610887110233305
122,heating,0.6130653266331658,0.0030725482,0.002194696804508567,0.004041171399876475
123,heating,0.6180904522613065,0.0030708762,0.002195097296498716,0.004021516535431147
124,heating,0.6231155778894473,0.0030693144,0.002195233874954283,0.003998839529231191
125,heating,0.628140703517588,0.0030678622,0.002196093904785812,0.003977255849167705
126,heating,0.6331658291457286,0.0030665472,0.0021967676235362887,0.003958395216614008
127,heating,0.6381909547738693,0.0030652971,0.002197030675597489,0.003952282667160034
128,heating,0.6432160804020101,0.0030641486,0.0021974735194817186,0.003940895525738597
129,heating,0.6482412060301508,0.0030631297,0.0021983219077810643,0.003924886137247086
130,heating,0.6532663316582915,0.0030621686,0.002198863448575139,0.003913298575207591
131,heating,0.6582914572864321,0.003061328,0.0021995092742145062,0.003908355068415403
132,heating,0.6633165829145728,0.003060588,0.002199947345070541,0.0039054892724379895
133,heating,0.6683417085427136,0.0030599928,0.0022005162667483092,0.0038951591588556765
134,heating,0.6733668341708543,0.0030594794,0.002201035595498979,0.0038807784439995885
135,heating,0.678391959798995,0.0030590687,0.0022018061950802802,0.0038810579571872945
136,heating,0.6834170854271356,0.0030587916,0.0022022700402885677,0.0038821566849946976
137,heating,0.6884422110552764,0.0030585951,0.002202666760422289,0.003878403827548027
138,heating,0.6934673366834171,0.0030585374,0.002203514357097447,0.0038774187909439207
139,heating,0.6984924623115578,0.0030586135,0.0022039428818970918,0.0038717834977433085
140,heating,0.7035175879396985,0.0030587637,0.0022047886624932287,0.0038691240362823008
141,heating,0.7085427135678392,0.0030590233,0.0022052801912650468,0.00386760039255023
142,heating,0.7135678391959799,0.003059387,0.002205760939978063,0.0038711387664079667
143,heating,0.7185929648241206,0.0030598738,0.002206516801379621,0.0038711369270458813
144,heating,0.7236180904522613,0.003060423,0.002206970122642815,0.0038735924288630487
145,heating,0.7286432160804021,0.003061068,0.002207561768591404,0.003878681897185743
146,heating,0.7336683417085427,0.0030618338,0.002208318351767957,0.003882904932834208
147,heating,0.7386934673366834,0.0030626247,0.0022086439421400428,0.0038861708482727407
148,heating,0.7437185929648241,0.003063496,0.0022095041582360863,0.0038918759673833847
149,heating,0.7487437185929648,0.0030644424,0.0022106281016021968,0.0038975409464910627
150,heating,0.7537688442211056,0.003065441,0.0022108048666268586,0.0038979907752946016
151,heating,0.7587939698492463,0.0030664694,0.0022116793552413583,0.003893445269204676
152,heating,0.7638190954773869,0.0030675395,0.002212019544094801,0.0038984056562185285
153,heating,0.7688442211055276,0.003068663,0.002212573098950088,0.0039031741907820106
154,heating,0.7738693467336684,0.003069777,0.0022130110301077366,0.003907341696321964
155,heating,0.7788944723618091,0.0030709004,0.0022136982996016743,0.003911869460716843
156,heating,0.7839195979899498,0.0030720218,0.0022143959999084474,0.003915886115282773
