selected_model,comparison_model,seed,model_kind,n_heat,n_cool,units,encoder_units,dropout,lambda_phys,learning_rate,batch_size,temperature_weight,logF_weight,retention_weight,initial_condition_weight,stage_continuity_weight,validation_score,trajectory_RMSE_C,trajectory_MAE_C,direct_logF_RMSE,direct_logF_MAE,direct_logF_R2,trajectory_logF_RMSE,direct_vs_trajectory_logF_RMSE,direct_F_MAE_min,trajectory_F_MAE_min,retention_RMSE,retention_MAE,retention_R2,retention_out_of_range_count,stage_jump_mean_abs_C,stage_jump_p95_abs_C,signed_F_error_mean_min,absolute_F_error_p95_min,absolute_F_error_p99_min,near_target_underprediction_p95_min,false_safe_rate_all,false_unsafe_rate_all,false_safe_rate_near_target,false_unsafe_rate_near_target,near_target_count,inference_ms_per_case,best_epoch,epochs_executed,training_seconds,parameter_count
True,PRNN_LSTM,17,lstm,200,200,192,192,0.0,0.5,0.001,64,2.0,1.0,1.0,0.1,0.1,0.0470050147438105,1.0617409944534302,0.38663408160209656,0.005393513944000006,0.00398209085687995,0.9999370669512885,0.00592163996770978,0.0023006428964436054,0.7867363095283508,0.9853054285049438,0.0003595168236643076,0.0002219102025264874,0.999978920799384,0,0.0938328355550766,0.22455902099609354,0.06825338304042816,3.231068420410156,7.461400756835946,0.08415873050689697,0.001266624445851805,0.0,0.03225806451612903,0.0,62,22.3622025794812,57,70,2369.654815032998,806212
True,PRNN_LSTM,42,lstm,200,200,192,192,0.0,0.5,0.001,64,2.0,1.0,1.0,0.1,0.1,0.044781166960043056,1.022336483001709,0.33039015531539917,0.005354615859687328,0.0039686537347733974,0.999937971426112,0.005453310441225767,0.0012581647606566548,0.7699856758117676,0.8245649337768555,0.00034576014149934053,0.00021033981465734541,0.9999805031011318,0,0.0627497136592865,0.15857772827148428,0.1682347059249878,3.176060485839843,5.838084716796885,0.08260645866394042,0.001266624445851805,0.0,0.03225806451612903,0.0,62,22.626991509182883,67,70,2373.093772084998,806212
False,data_LSTM,17,lstm,200,200,192,192,0.0,0.0,0.001,64,2.0,1.0,1.0,0.1,0.1,0.05132048448950814,1.0334007740020752,0.3420216143131256,0.005346792284399271,0.0037947373930364847,0.9999381525527996,0.008450769819319248,0.006933221127837896,0.7470333576202393,1.7056632041931152,0.00033560823067091405,0.00020464611588977277,0.9999816311957438,0,0.0674496665596962,0.17966232299804683,0.015947701409459114,3.1665985107421837,6.96799194335938,0.1032143592834472,0.001266624445851805,0.0,0.03225806451612903,0.0,62,22.544202241923877,68,70,2361.163078726997,806212
False,data_LSTM,42,lstm,200,200,192,192,0.0,0.0,0.001,64,2.0,1.0,1.0,0.1,0.1,0.04910233602711348,1.0301318168640137,0.32799312472343445,0.00540279783308506,0.004102637059986591,0.9999368501066038,0.007261816877871752,0.005182434804737568,0.8064342141151428,1.136850357055664,0.0003469452785793692,0.00021373647905420512,0.999980369214003,0,0.06937515735626221,0.17938232421875,0.26661422848701477,3.328640747070312,6.857844848632813,0.07984664440155029,0.001266624445851805,0.0,0.03225806451612903,0.0,62,22.380958864469836,57,70,2366.265192543,806212
False,GRU,17,gru,200,200,192,192,0.0,0.0,0.001,64,2.0,1.0,1.0,0.1,0.1,0.05931471928233262,1.1042466163635254,0.4154982268810272,0.0056966980919241905,0.004109899513423443,0.9999297928112323,0.01116435881704092,0.01017123181372881,0.8256388902664185,2.0216188430786133,0.0003907195932697505,0.0002655029820743948,0.9999751030540711,0,0.04905824735760689,0.12507553100585936,0.09578489512205124,3.4614120483398403,8.004779663085943,0.10121053457260126,0.0006333122229259025,0.0,0.016129032258064516,0.0,62,56.96545040151778,61,70,5684.104419463001,620164
False,GRU,42,gru,200,200,192,192,0.0,0.0,0.001,64,2.0,1.0,1.0,0.1,0.1,0.05895698882051395,1.110520362854004,0.4175618886947632,0.005663726944476366,0.004264947026968002,0.9999306031371314,0.011083263903856277,0.010062377899885178,0.8272782564163208,1.8349686861038208,0.00036635526339523494,0.0002221910544903949,0.9999781112692963,0,0.05378720909357071,0.13534927368164051,0.12860310077667236,3.368251037597654,6.540619812011721,0.06839066743850708,0.001266624445851805,0.0,0.03225806451612903,0.0,62,57.00405648511345,48,70,5815.740831405004,620164
False,time_conditioned_MLP,17,mlp,200,200,192,192,0.0,0.0,0.001,64,2.0,1.0,1.0,0.1,0.1,0.08848122973400276,1.4296399354934692,0.7613353133201599,0.005814350675791502,0.004282894544303417,0.9999268629248793,0.022728463634848595,0.022185012698173523,0.8083471059799194,4.087209224700928,0.00039821743848733604,0.0002489228209014982,0.9999741383471162,0,0.4147734045982361,1.0487091064453125,0.10183576494455338,3.4130981445312476,6.291037597656256,0.11375573873519892,0.0006333122229259025,0.0,0.016129032258064516,0.0,62,45.40219436478951,68,70,4276.977156905006,206788
False,time_conditioned_MLP,42,mlp,200,200,192,192,0.0,0.0,0.001,64,2.0,1.0,1.0,0.1,0.1,0.12990356612998627,2.025589942932129,1.1484198570251465,0.005754397250711918,0.004239810165017843,0.9999283634176198,0.03753284737467766,0.03729019686579704,0.8529571294784546,5.987114429473877,0.0004253564984537661,0.0002723729994613677,0.9999704932192722,0,0.5201294422149658,1.3245330810546871,-0.2528083920478821,3.4680068969726556,7.738657226562502,0.09064189195632934,0.0006333122229259025,0.0,0.016129032258064516,0.0,62,45.11164216402893,40,70,4282.959885952005,206788
