comparison_model,validation_score_mean,validation_score_std,trajectory_RMSE_C_mean,trajectory_RMSE_C_std,direct_logF_RMSE_mean,direct_logF_RMSE_std,trajectory_logF_RMSE_mean,trajectory_logF_RMSE_std,direct_vs_trajectory_logF_RMSE_mean,direct_vs_trajectory_logF_RMSE_std,direct_F_MAE_min_mean,direct_F_MAE_min_std,trajectory_F_MAE_min_mean,trajectory_F_MAE_min_std,retention_RMSE_mean,retention_RMSE_std,retention_MAE_mean,retention_MAE_std,retention_R2_mean,retention_R2_std,stage_jump_mean_abs_C_mean,stage_jump_mean_abs_C_std,false_safe_rate_all_mean,false_safe_rate_all_std,false_unsafe_rate_all_mean,false_unsafe_rate_all_std,false_safe_rate_near_target_mean,false_safe_rate_near_target_std,false_unsafe_rate_near_target_mean,false_unsafe_rate_near_target_std,best_epoch_mean,best_epoch_std,training_seconds_mean,training_seconds_std,inference_ms_per_case_mean,inference_ms_per_case_std,parameter_count_mean
PRNN_LSTM,0.04589309085192678,0.0015724978482286325,1.0420387387275696,0.027863197256855023,0.005374064901843667,2.7505099192660242e-05,0.0056874752044677734,0.0003311589840067301,0.0017794038285501301,0.0007371433590536632,0.7783609926700592,0.011844486690168039,0.9049351811408997,0.11366069383351178,0.00035263848258182406,9.727443245476244e-06,0.0002161250085919164,8.181499723228874e-06,0.9999797119502579,1.1188562957872853e-06,0.07829127460718155,0.021979086272961235,0.001266624445851805,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,62.0,7.0710678118654755,2371.374293558998,2.431709851678322,22.49459704433204,0.18723404777518868,806212.0
data_LSTM,0.050211410258310815,0.0015684678194377779,1.0317662954330444,0.0023115017597314723,0.0053747950587421656,3.9601903259794816e-05,0.0078562933485955,0.0008407166874092169,0.006057827966287732,0.001237992881472904,0.776733785867691,0.042002748435835284,1.4212567806243896,0.4022114214369188,0.0003412767546251416,8.01650345470539e-06,0.00020919129747198895,6.427857437018515e-06,0.9999810002048735,8.923558466351887e-07,0.0684124119579792,0.0013615275993641123,0.001266624445851805,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,62.5,7.7781745930520225,2363.7141356349985,3.607739277681373,22.462580553196858,0.1154304991815475,806212.0
GRU,0.059135854051423284,0.0002529536353889749,1.1073834896087646,0.004436208686862662,0.005680212518200278,2.3314121943858217e-05,0.011123811360448599,5.734276303259528e-05,0.010116804856806993,7.697134063752821e-05,0.8264585733413696,0.0011592069214436294,1.928293764591217,0.13198159170640933,0.0003785374283324927,1.722818287333592e-05,0.00024384701828239486,3.062615770090703e-05,0.9999766071616837,2.127129384966562e-06,0.0514227282255888,0.003343880911471726,0.0009499683343888537,0.00044781936743923216,0.0,0.0,0.024193548387096774,0.011404948083653992,0.0,0.0,54.5,9.192388155425117,5749.922625434003,93.08099953525627,56.98475344331561,0.027298623505555872,620164.0
time_conditioned_MLP,0.1091923979319945,0.029290014958190277,1.727614939212799,0.4214002915080497,0.00578437396325171,4.239347342913356e-05,0.030130655504763126,0.01046828013372099,0.029737604781985283,0.010680978155998267,0.830652117729187,0.031544050124705444,5.037161827087402,1.3434358539065685,0.0004117869684705511,1.9190213337291058e-05,0.00026064791018143296,1.658178027971913e-05,0.9999723157831942,2.5774946167911735e-06,0.46745142340660095,0.07449796863773459,0.0006333122229259025,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,54.0,19.79898987322333,4279.9685214285055,4.23042827913432,45.25691826440922,0.20545143144648104,206788.0
