validation_score,trajectory_RMSE_C,trajectory_MAE_C,direct_logF_RMSE,direct_logF_MAE,direct_logF_R2,trajectory_logF_RMSE,direct_vs_trajectory_logF_RMSE,direct_F_MAE_min,trajectory_F_MAE_min,retention_RMSE,retention_MAE,retention_R2,retention_out_of_range_count,stage_jump_mean_abs_C,stage_jump_p95_abs_C,signed_F_error_mean_min,absolute_F_error_p95_min,absolute_F_error_p99_min,near_target_underprediction_p95_min,false_safe_rate_all,false_unsafe_rate_all,false_safe_rate_near_target,false_unsafe_rate_near_target,near_target_count,inference_ms_per_case,seed,best_epoch,epochs_executed,training_seconds,parameter_count,model_kind,n_heat,n_cool,units,encoder_units,dropout,lambda_phys,learning_rate,batch_size,temperature_weight,logF_weight,retention_weight,initial_condition_weight,stage_continuity_weight,run_name,stage,selected
0.08056184993659038,1.214250922203064,0.5867438316345215,0.009703502058982849,0.006417778320610523,0.9997962994565902,0.016278298571705818,0.012066093273460865,1.173280119895935,2.2328267097473145,0.0007726353942416608,0.0004539363144431263,0.9999026435071108,0,0.10573482513427734,0.2851417541503906,-0.23011112213134766,5.29893341064453,10.098831787109384,0.16152724027633664,0.00253324889170361,0.001266624445851805,0.06451612903225806,0.03225806451612903,62,11.361781447118624,42,63,70,710.6592090419999,361348,lstm,100,100,128,128,0.1,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,resolution_100_100,A,False
0.07688047812235527,1.23683500289917,0.5919602513313293,0.010336075909435749,0.006860492751002312,0.9997688751805243,0.011214601807296276,0.006562866736203432,1.4263381958007812,2.006110668182373,0.001109505188651383,0.0006234372849576175,0.9997992412756247,0,0.1117728129029274,0.2948707580566406,-0.3235255181789398,5.9809234619140605,17.24911621093751,0.12272182703018185,0.0031665611146295125,0.0,0.08064516129032258,0.0,62,22.185819040532113,42,47,70,1836.1131684309998,361348,lstm,200,200,128,128,0.1,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,resolution_200_200,A,True
0.07979059087201877,1.2531828880310059,0.6234012842178345,0.010766551829874516,0.00698409928008914,0.9997492225852901,0.01268068514764309,0.008293530903756618,1.426836609840393,1.7710256576538086,0.0010389244416728616,0.0006080359453335404,0.9998239712432727,0,0.1216948851943016,0.320196533203125,-0.9779525995254517,6.6799957275390565,16.319819335937506,0.20925308465957637,0.0018999366687777073,0.001266624445851805,0.04838709677419355,0.03225806451612903,62,33.37331622292572,42,46,70,3487.0552231870006,361348,lstm,300,300,128,128,0.1,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,resolution_300_300,A,False
0.050619605009642736,1.1462301015853882,0.508112907409668,0.0055877515114843845,0.004048231057822704,0.9999324524902744,0.006256728898733854,0.0031518524046987295,0.859551191329956,1.1924488544464111,0.00040187768172472715,0.0002429515589028597,0.9999736607445645,0,0.10592830926179886,0.26369323730468747,0.11975777894258499,3.67727355957031,7.865612182617205,0.10578287839889526,0.0,0.0,0.0,0.0,62,22.218132588980158,42,67,70,1860.06013962,361348,lstm,200,200,128,128,0.0,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,capacity_u128_d0.00,B,False
0.07688047812235527,1.23683500289917,0.5919602513313293,0.010336075909435749,0.006860492751002312,0.9997688751805243,0.011214601807296276,0.006562866736203432,1.4263381958007812,2.006110668182373,0.001109505188651383,0.0006234372849576175,0.9997992412756247,0,0.1117728129029274,0.2948707580566406,-0.3235255181789398,5.9809234619140605,17.24911621093751,0.12272182703018185,0.0031665611146295125,0.0,0.08064516129032258,0.0,62,22.185819040532113,42,47,70,1836.1131684309998,361348,lstm,200,200,128,128,0.1,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,capacity_u128_d0.10,B,False
0.04487876121230897,1.04084312915802,0.3648451268672943,0.005310337990522385,0.0039105648174881935,0.9999389930281998,0.005384313873946667,0.0013807726791128516,0.768246054649353,0.8048731088638306,0.00032775787985883653,0.00018939566507469863,0.9999824804887202,0,0.058969054371118546,0.14663925170898437,0.2188468873500824,3.226205444335937,6.1655450439453166,0.08972954750061034,0.0006333122229259025,0.0,0.016129032258064516,0.0,62,22.300191693477046,42,67,70,2369.3180400260007,806212,lstm,200,200,192,192,0.0,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,capacity_u192_d0.00,B,True
0.07061170721109851,1.189951777458191,0.5444762110710144,0.008563202805817127,0.005642795469611883,0.9998413618389836,0.011901522055268288,0.007518541533499956,1.2048139572143555,1.4551395177841187,0.0007930270512588322,0.0004686812753789127,0.9998974367690704,0,0.1602766364812851,0.32495727539062497,0.32179662585258484,5.338111877441403,10.22632812500001,0.12450394630432128,0.001266624445851805,0.001266624445851805,0.03225806451612903,0.03225806451612903,62,22.476940677644237,42,58,70,2380.487837836001,806212,lstm,200,200,192,192,0.1,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,capacity_u192_d0.10,B,False
0.04487876121230897,1.04084312915802,0.3648451268672943,0.005310337990522385,0.0039105648174881935,0.9999389930281998,0.005384313873946667,0.0013807726791128516,0.768246054649353,0.8048731088638306,0.00032775787985883653,0.00018939566507469863,0.9999824804887202,0,0.058969054371118546,0.14663925170898437,0.2188468873500824,3.226205444335937,6.1655450439453166,0.08972954750061034,0.0006333122229259025,0.0,0.016129032258064516,0.0,62,22.300191693477046,42,67,70,2369.3180400260007,806212,lstm,200,200,192,192,0.0,0.5,0.001,64,1.0,1.0,1.0,0.1,0.1,weights_T1_F1_Q1,C,False
0.04752636944477563,1.1157846450805664,0.46151912212371826,0.005249998066574335,0.0038215017411857843,0.9999403715601602,0.005565202329307795,0.0021627398673444986,0.7339406609535217,0.867156445980072,0.0003603650548029691,0.00021409256441984326,0.9999788212148106,0,0.10449212789535522,0.25700836181640624,0.029604775831103325,3.103218078613278,6.35196594238282,0.09350818395614623,0.001266624445851805,0.0,0.03225806451612903,0.0,62,22.33986564787911,42,54,70,2364.376508571999,806212,lstm,200,200,192,192,0.0,0.5,0.001,64,1.0,2.0,1.0,0.1,0.1,weights_T1_F2_Q1,C,False
0.04588603507975248,1.052101492881775,0.38868075609207153,0.0053722248412668705,0.0039038402028381824,0.9999375627822145,0.0056070988066494465,0.0017703237244859338,0.7780259251594543,0.8668346405029297,0.00034263439010828733,0.00020219858561176807,0.999980854018844,0,0.08109690994024277,0.20794067382812498,0.2188885509967804,3.307073974609375,6.3670611572265665,0.09372575283050534,0.0006333122229259025,0.0,0.016129032258064516,0.0,62,22.35428022862416,42,67,70,2369.2661715390022,806212,lstm,200,200,192,192,0.0,0.5,0.001,64,1.0,1.0,2.0,0.1,0.1,weights_T1_F1_Q2,C,False
