epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,118.92256267700213,118.92256600700057,0.8783097267150879,0.2290056049823761,0.07120172679424286,0.07665453106164932,2.6452231407165527,2.6893391609191895,0.03387196362018585,0.045324765145778656,1.6867543458938599,0.0897873193025589,0.009268688969314098,0.021656759083271027,0.043300967663526535,0.06153954192996025,0.035247378051280975,0.00040461591561324894,0.0009779774118214846,0.694949209690094
2,0.0010000000474974513,32.6768686280011,151.59949711599984,0.03156385198235512,0.005416903179138899,0.007173230405896902,0.011874022893607616,0.016026154160499573,0.016625331714749336,0.00020713472622446716,0.0005946333985775709,0.40653476119041443,0.022396109998226166,0.004779519978910685,0.004286253824830055,0.007842344231903553,0.0067260898649692535,0.008089685812592506,0.0001053873056662269,0.0002532204380258918,0.3297153413295746
3,0.0010000000474974513,32.67047683299825,184.2699936220015,0.010495944879949093,0.002595384605228901,0.0020604529418051243,0.002716352930292487,0.004942004103213549,0.005714591592550278,0.00010209465108346194,0.00023959923419170082,0.23227247595787048,0.016182001680135727,0.004422924946993589,0.002656982745975256,0.0031509960535913706,0.01475584041327238,0.021623093634843826,7.66357989050448e-05,0.0004492496664170176,0.34951186180114746
4,0.0010000000474974513,32.561022044999845,216.83103036199827,0.015038407407701015,0.0024929435458034277,0.003249491099268198,0.005984753370285034,0.007884286344051361,0.008459646254777908,9.112877160077915e-05,0.0002073598006973043,0.2810465395450592,0.007196120452135801,0.0015526048373430967,0.001346890814602375,0.0012068725191056728,0.01521654985845089,0.013577975332736969,7.026264211162925e-05,8.467055158689618e-05,0.25538116693496704
5,0.0010000000474974513,32.47328238699993,249.30433036400063,0.005401164293289185,0.0015764656709507108,0.000776386761572212,0.0009278765646740794,0.005275408271700144,0.005433223210275173,5.3987674618838355e-05,0.00011030733730876818,0.1788453459739685,0.0071300119161605835,0.0020560757257044315,0.0009226614492945373,0.000840524910017848,0.012225563637912273,0.013600995764136314,9.04565749806352e-05,0.00023072738258633763,0.24664080142974854
6,0.0010000000474974513,32.53280907599765,281.8372053089988,0.005434924270957708,0.0015637498581781983,0.0008163367747329175,0.0006461563752964139,0.008292576298117638,0.008229578845202923,4.907238690066151e-05,0.00010766378545667976,0.19353234767913818,0.008513820357620716,0.0023022314999252558,0.0007185448775999248,0.0012945315102115273,0.018663782626390457,0.019238535314798355,6.983179628150538e-05,0.00022919887851458043,0.28123238682746887
7,0.0010000000474974513,32.58544529299979,314.4226701609987,0.006815904285758734,0.0016251408960670233,0.0016388880321756005,0.0013932270230725408,0.005197842605412006,0.004904723260551691,4.821367474505678e-05,8.901926048565656e-05,0.19561876356601715,0.010083398781716824,0.0026336205191910267,0.0015263077802956104,0.0013484859373420477,0.01931082457304001,0.02460353448987007,5.002504258300178e-05,5.278716344037093e-05,0.3166140019893646
8,0.0010000000474974513,32.511514013000124,346.93420273800075,0.01696336455643177,0.002037478843703866,0.004421401768922806,0.007473671343177557,0.009678521193563938,0.009543179534375668,9.959573799278587e-05,0.0001552121975691989,0.29871493577957153,0.021384835243225098,0.0016026996308937669,0.010679639875888824,0.005068220663815737,0.024144139140844345,0.0058186110109090805,6.194194429554045e-05,0.00010961959196720272,0.3256593346595764
9,0.0010000000474974513,32.55833443600204,379.4925514560018,0.0071778493002057076,0.001466464251279831,0.0026586176827549934,0.0010950821451842785,0.004747089464217424,0.0053311618976294994,6.303584086708724e-05,0.00010210771870333701,0.18746966123580933,0.0028509648982435465,0.0010080416686832905,0.0003070785605814308,0.0004456790047697723,0.0007469324627891183,0.0009387627942487597,2.1052306692581624e-05,5.32523772562854e-05,0.10409058630466461
10,0.0010000000474974513,32.46518247000131,411.957748918001,0.004939895123243332,0.0014578319387510419,0.0006130379042588174,0.0012619434855878353,0.0013672896893694997,0.0014592453371733427,2.345708526263479e-05,0.000101751800684724,0.1372150331735611,0.011074148118495941,0.0017304959474131465,0.0010262683499604464,0.006245803087949753,0.0033435041550546885,0.002001117914915085,3.6626519431592897e-05,3.072284744121134e-05,0.20837104320526123
